"","Aou","Route","Year","countrynum","statenum","SpeciesTotal"
"3",4050,1,2010,NA,NA,0
"8",4050,2,2010,840,72,1
"17",4050,3,2010,NA,NA,0
"26",4050,4,2005,840,72,1
"38",4050,5,2000,NA,NA,0
"53",4050,6,2005,NA,NA,0
"70",4050,8,2000,NA,NA,0
"86",4050,9,2005,840,72,2
"108",4050,10,2000,NA,NA,0
"132",4050,11,2010,NA,NA,0
"154",4050,12,2005,840,72,2
"174",4050,13,2005,840,72,1
"199",4050,14,2010,840,72,2
"212",4050,15,2010,NA,NA,0
"221",4050,16,2000,NA,NA,0
"233",4050,17,2010,840,72,1
"244",4050,18,2010,840,72,2
"255",4050,19,2010,NA,NA,0
"262",4050,20,2000,840,72,1
"285",4050,21,2010,840,72,1
"297",4050,22,2000,840,72,1
"316",4050,23,2005,840,72,2
"330",4050,24,2010,NA,NA,0
"342",4050,25,2005,NA,NA,0
"358",4050,26,2005,NA,NA,0
"362",4050,27,2010,NA,NA,0
"380",4050,28,2005,840,72,2
"402",4050,29,2000,840,72,2
"426",4050,30,2005,NA,NA,0
"450",4050,31,2010,840,72,3
"456",4050,32,2005,NA,NA,0
"463",4050,33,2000,NA,NA,0
"489",4050,34,2005,840,72,4
"522",4050,35,2005,840,72,6
"544",4050,36,2010,NA,NA,0
"560",4050,37,2000,840,72,1
"576",4050,38,2000,NA,NA,0
"600",4050,39,2000,NA,NA,0
"612",4050,40,2000,NA,NA,0
"613",4050,41,2000,NA,NA,0
"626",4050,42,2000,NA,NA,0
"637",4050,43,2000,840,72,1
"659",4050,44,2005,NA,NA,0
"671",4050,46,2010,840,72,1
"686",4050,47,2005,840,72,1
"699",4050,48,2000,840,72,1
"717",4050,49,2010,NA,NA,0
"731",4050,50,2010,840,72,2
"739",4050,51,2010,NA,NA,0
"741",4050,52,2000,NA,NA,0
"754",4050,53,2005,840,72,3
"777",4050,54,2005,NA,NA,0
"786",4050,55,2010,NA,NA,0
"795",4050,56,2000,840,72,1
"816",4050,57,2010,840,72,1
"828",4050,58,2000,NA,NA,0
"849",4050,59,2010,840,72,4
"868",4050,60,2000,840,72,5
"896",4050,61,2005,NA,NA,0
"917",4050,62,2005,840,72,2
"937",4050,63,2010,840,72,1
"956",4050,64,2000,NA,NA,0
"973",4050,65,2005,NA,NA,0
"994",4050,66,2005,840,72,1
"1014",4050,67,2010,840,72,5
"1040",4050,68,2000,840,72,6
"1061",4050,69,2000,NA,NA,0
"1083",4050,70,2000,840,72,3
"1113",4050,71,2000,NA,NA,0
"1136",4050,72,2005,840,72,2
"1146",4050,76,2010,NA,NA,0
"1153",4050,78,2000,NA,NA,0
"1161",4050,79,2000,NA,NA,0
"1172",4050,80,2010,NA,NA,0
"1180",4050,83,2005,840,72,3
"1194",4050,85,2000,NA,NA,0
"1198",4050,86,2000,NA,NA,0
"1206",4050,87,2010,NA,NA,0
"1236",4050,88,2005,840,72,3
"1248",4050,89,2005,NA,NA,0
"1279",4050,90,2010,NA,NA,0
"1308",4050,91,2000,NA,NA,0
"1344",4050,92,2010,NA,NA,0
"1346",4050,93,2010,NA,NA,0
"1351",4050,94,2000,NA,NA,0
"1352",4050,97,2000,NA,NA,0
"1357",4050,101,2005,NA,NA,0
"1373",4050,107,2010,NA,NA,0
"1393",4050,126,2010,840,72,2
"1406",4050,127,2005,NA,NA,0
"1432",4050,132,2005,840,72,3
"1445",4050,137,2010,840,72,1
"1446",4050,140,2005,NA,NA,0
"1454",4050,145,2005,NA,NA,0
"1466",4050,151,2010,NA,NA,0
"1482",4050,155,2010,NA,NA,0
"1510",4050,165,2005,840,72,6
"1522",4050,166,2000,NA,NA,0
"1530",4050,173,2005,840,72,1
"1541",4050,174,2005,NA,NA,0
"1543",4050,178,2005,NA,NA,0
"1547",4050,180,2010,NA,NA,0
"1549",4050,182,2005,NA,NA,0
"1551",4050,187,2005,NA,NA,0
"1577",4050,189,2010,NA,NA,0
"1596",4050,192,2005,840,72,5
"1612",4050,193,2010,NA,NA,0
"1635",4050,194,2010,840,72,3
"1646",4050,196,2010,NA,NA,0
"1649",4050,198,2000,NA,NA,0
"1664",4050,901,2005,840,72,1
"1678",4050,902,2000,840,72,1
"1693",4050,903,2000,NA,NA,0
"1706",4050,904,2000,840,72,2
"1728",4050,905,2000,840,72,4
"1759",4050,906,2010,840,72,4
"1771",4050,907,2005,840,72,1
"1778",4050,909,2000,NA,NA,0
"1794",4050,910,2005,840,72,1
"1800",4050,911,2000,NA,NA,0
