i,mass,sv.length,forearm,arm,sex
1,2.5,32.56,3.45,4,male
2,2.28,29.32,3.35,3.67,male
3,2.38,30.3,3.56,4.86,male
4,2.53,26.67,3.58,4.08,male
5,1.52,25.92,2.87,3.89,male
6,2.06,27.16,3.42,3.56,male
7,2.13,29.19,3.46,4.52,male
8,2.22,30.36,2.72,3.33,male
9,2.89,29.49,3.51,4.23,male
10,3.39,34.09,4.12,4.33,male
11,4.85,36.08,3.99,6.03,male
12,0.92,20.97,1.82,2.22,male
13,1.16,23.12,2.29,2.96,male
14,1.32,24.62,2.62,3.42,male
15,1.33,24.15,2.82,3.51,male
16,1.39,25.08,2.54,3.99,male
17,1.54,24.83,2.69,3.63,male
18,1.56,27.44,3.26,3.48,male
19,1.68,26.82,3.18,3.55,male
20,1.72,26.44,2.89,3.38,male
21,3.43,34.3,3.81,4.97,male
22,1.29,24.81,2.97,3.09,male
23,2,27.5,3.29,4.15,male
24,2.04,28.48,2.62,3.23,male
25,1.35,24.51,2.5,2.99,male
26,1.62,26.11,2.84,3.96,male
27,2.22,29.4,3.39,3.8,male
28,2.55,30.35,3.61,4.25,male
29,2.97,30.42,2.94,4,male
30,3.24,31.07,3.82,4.48,male
31,2.99,33.02,3.78,4.46,male
32,3.14,32.24,3.97,4.92,male
33,3.22,33.98,3.76,4.86,male
34,1.04,23.06,2.13,2.57,male
35,1.3,25.71,2.54,2.87,male
36,1.7,27.74,3.12,3.27,male
37,1.8,26.82,2.96,4.03,male
38,1.81,26.01,2.64,2.95,male
39,1.85,27.26,2.79,3.45,male
40,2.15,30.8,3,3.37,male
41,0.8,21.71,2.12,2.24,male
42,1.18,24.18,2.55,3.32,male
43,1.84,29.84,2.89,3.09,male
44,2.15,29.53,2.91,3.54,male
45,2.2,29.99,2.79,3.46,male
46,2.37,33.11,3.06,5.19,male
47,2.75,33.65,3.51,4.51,male
48,2.93,32.35,3.56,4.73,male
49,3.14,35.5,3.73,4.33,male
50,1.06,24.75,2.35,2.98,male
52,1.59,27.65,2.6,3.31,male
53,2.07,28.17,2.96,3.36,male
54,2.08,31.22,2.96,4.08,male
55,2.28,31.56,2.55,4.34,male
56,2.36,31.81,3.45,4.69,male
57,2.99,33.93,3.9,4.77,male
58,0.9,21.78,2.07,2.38,male
59,2.55,32.41,3.65,4.97,male
60,2.7,33.04,3.27,4.96,male
61,1.02,23.62,2.23,2.63,male
62,1.26,25.57,2.28,3.07,male
63,1.37,25.51,2.37,3.22,male
64,1.49,26.07,2.6,3.11,male
65,1.55,28.27,3.03,3.77,male
66,1.74,28.48,2.73,4.32,male
67,1.79,29.55,2.97,3.4,male
68,1.95,28.41,3.19,3.57,male
69,2.01,28.67,2.79,3.96,male
70,2.06,28.33,2.53,3.29,male
71,2.19,30.23,3.01,3.83,male
72,2.42,31.23,2.83,4.37,male
73,2.43,32.14,3.49,4.38,male
74,2.47,31.31,3.94,4.28,male
75,2.51,30.65,2.69,4.36,male
76,2.6,31.78,3.03,4.52,male
77,2.89,32.91,3.48,4.39,male
78,2.94,34.05,3.18,4.49,male
79,3.25,33.93,3.69,4.9,male
80,2.13,30.34,3.58,4.74,male
81,2.13,29.1,3.08,4.07,male
82,3.82,35.95,4.35,5.34,male
83,1.74,27.25,2.8,3.71,male
84,2.81,32.04,3.78,4.45,male
85,3.22,38.85,4.25,5.21,male
86,2.39,31.96,3.63,4.56,male
87,2.5,32.95,3.74,4.39,male
88,2.41,31.28,3.69,4.92,male
89,2.59,31.12,3.59,4.31,male
90,2.74,31.85,3.88,4.34,male
91,2.88,35.89,3.79,4.12,male
92,3,32.17,3.85,4.78,male
93,3.01,33.6,3.8,4.95,male
94,3.32,34.2,4.07,5.22,male
95,3.66,36.82,3.57,4.87,male
96,4.02,35.39,4.3,5.43,male
97,2.1,31.35,2.9,3.61,male
98,4.99,39.8,4.42,5.81,male
99,1.13,24.58,2.59,2.74,male
100,1.84,28.11,3.02,3.91,male
101,2,29.11,3.21,3.9,male
102,2.05,31.36,3.14,3.58,male
103,2.28,30.4,3.53,4.17,male
104,3.58,37.12,3.56,5.46,male
105,1.92,26.67,3.59,4.43,male
106,2.83,31.72,3.38,5.1,male
107,2.1,30.87,3.25,3.87,male
108,2.14,30.07,2.88,3.68,male
109,2.38,31.22,2.99,4.63,male
110,3.54,36.19,3.87,5.64,male
111,2.65,33.19,3.43,4.11,male
112,3.47,36.47,4.04,5.63,male
113,2.32,30.53,2.84,4.12,male
114,2.62,35.08,3.33,4.48,male
115,3.41,35.81,3.74,4.76,male
116,1.45,26.62,2.5,3.12,male
117,2.39,30.87,3.12,4.28,male
118,2.82,33.04,3.35,4.46,male
119,3.79,37.82,3.75,5.2,male
120,2.32,33.22,3.42,4.01,male
121,2.23,29.84,3.33,4.14,male
122,2.64,33.74,3.76,4.13,male
123,2.71,32.66,3.61,3.81,male
124,3.55,34.58,3.83,4.55,male
125,1.58,28.96,2.86,3.63,male
126,1.96,29.19,2.67,3.34,male
127,2.11,30.17,3.24,3.3,male
128,2.18,32.86,3.14,3.9,male
129,3.74,37.1,3.8,5.11,male
130,4.91,41.19,4.51,6.04,male
131,0.65,21.33,1.67,2.22,male
132,0.88,22.65,2,2.49,male
133,0.95,23.08,2.24,2.68,male
134,0.99,22.97,2.2,2.86,male
135,1.04,23.84,2.53,3.1,male
136,1.19,24.9,2.58,2.86,male
137,1.26,26.42,2.39,2.67,male
138,1.32,25.79,2.87,3.3,male
139,1.33,26.44,2.67,3.13,male
140,1.36,24.91,2.69,3.13,male
141,1.4,25.87,2.59,3.23,male
142,1.43,29.26,2.58,3.47,male
143,1.47,25.75,2.64,3.16,male
144,1.56,27.9,2.69,3.12,male
145,1.6,27.95,2.94,3.63,male
146,1.62,28.02,3.07,2.97,male
147,1.64,28.15,2.98,4.07,male
148,1.78,29.19,2.99,4.02,male
149,1.8,30.35,2.97,3.92,male
150,1.81,28.33,2.83,3.2,male
151,2.12,32.06,3.16,4.24,male
152,2.16,30.26,3.22,4.16,male
153,2.16,31.56,3.3,4.2,male
154,2.2,32.18,3.47,4.98,male
155,2.36,32.28,3.71,4.2,male
156,2.49,31.37,3.62,4.12,male
157,2.61,33.98,3.32,4.39,male
158,2.66,32.07,3.88,4.19,male
159,3.28,34.3,3.74,4.69,male
160,3.31,34.67,3.62,4.78,male
161,3.57,37.22,3.81,5.18,male
162,1.87,28.78,2.91,3.56,male
163,2.19,30.02,3.32,4.34,male
164,2.49,33.53,3.37,4.63,male
165,2.99,32.62,3.42,4.34,male
166,3.41,35.56,3.81,5.31,male
167,3.46,34.46,3.91,5.42,male
168,1.14,23.95,1.87,2.86,male
169,1.8,29.41,3.07,3.93,male
170,1.88,30.58,3.05,3.86,male
171,2.16,31.48,3.24,4.17,male
172,2.42,30.99,3.35,4.2,male
173,3.11,36.06,3.95,4.92,male
