# Bald eagle nesting pairs by state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Most data from USFWS https://www.fws.gov/midwest/eagle/population/nos_state_tbl.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Same states augmented with various information from other sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# records for most states end in 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# History,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1963,417 pairs in all of continental USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1966,endangered spp act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1967,listed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1972,DDT banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yr,AL,AZ,AK,CA,CO,CT,Del,FL,GA,ID,IL,IN,IO,KA,KT,LA,Maine,MA,Massachusetts,MI,MN,MI,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,0,26,10,93,11,0,6,535,12,53,8,2,8,2,5,50,123,123,5,174,437,3,11,93,0,0,1,5,1,13,7,1,16,0,175,7,0,59,0,16,29,2,0,106,398,2,358,49
1991,3,25,10,90,14,1,7,601,12,58,9,5,11,2,8,62,127,128,6,204,495,3,13,106,1,0,1,5,2,15,8,1,19,8,184,9,0,68,0,17,35,2,0,113,442,3,414,52
1992,5,28,16,99,13,1,6,652,17,63,11,10,17,2,8,103,140,152,7,220,523,3,11,132,1,0,1,6,2,18,9,1,20,16,205,15,0,87,3,13,37,3,0,132,459,4,424,53
1993,10,27,20,103,19,1,7,667,17,70,12,12,31,5,10,103,150,154,9,246,565,8,14,144,2,0,1,6,2,20,8,1,24,10,221,17,0,88,2,22,37,3,0,149,469,5,465,59
1994,11,28,20,116,18,1,10,764,24,76,10,12,32,5,8,90,175,157,9,269,612,10,14,156,5,0,1,10,2,23,10,1,26,14,230,19,0,101,2,21,40,2,0,164,544,5,533,70
1995,15,30,20,105,23,1,11,831,24,77,14,15,36,6,16,101,192,182,9,268,618,9,24,166,7,0,0,11,2,25,11,1,30,18,245,20,0,102,2,26,40,2,0,176,558,5,583,63
1996,23,31,NA,124,26,3,15,879,28,90,24,17,47,7,12,101,203,201,10,287,NA,13,27,165,10,0,1,14,2,29,8,2,33,22,266,20,0,105,5,25,49,4,0,200,594,5,625,66
1997,22,34,24,142,29,2,14,874,31,84,26,18,58,7,17,124,175,219,9,298,NA,16,36,187,10,2,1,15,2,35,15,8,38,24,308,23,0,114,8,30,52,4,0,228,582,6,645,76
1998,23,36,29,148,27,2,13,980,37,92,43,15,83,8,13,135,202,232,9,291,NA,22,45,212,14,1,2,16,4,40,17,9,47,26,324,29,0,129,13,38,62,4,0,260,664,6,689,78
1999,26,38,34,151,29,2,14,1043,49,95,36,21,100,6,21,140,216,260,11,334,NA,22,53,225,13,2,3,22,3,45,20,9,57,32,343,43,0,143,13,44,64,3,0,244,NA,7,689,97
2000,27,37,36,NA,42,4,16,1069,55,113,3,24,100,9,23,182,234,270,12,370,681,25,64,229,20,1,4,25,3,51,33,9,63,31,371,51,0,153,10,43,78,4,0,283,564,10,770,97
2001,NA,37,NA,NA,45,6,17,1102,61,113,NA,28,NA,13,24,219,269,315,12,376,681,NA,75,220,23,3,8,33,3,65,39,NA,73,27,393,55,0,163,6,29,98,4,0,312,658,12,NA,89
2002,NA,43,NA,NA,NA,8,26,1133,73,128,NA,38,NA,13,27,246,290,319,12,405,NA,NA,NA,216,29,1,7,34,3,70,NA,NA,79,NA,401,64,NA,181,NA,50,NA,NA,0,263,NA,13,NA,NA
2003,47,43,36,160,NA,8,31,1133,81,NA,NA,NA,NA,NA,27,228,309,338,15,211,NA,34,NA,NA,NA,2,8,35,3,75,48,NA,88,NA,405,69,1,181,NA,43,NA,NA,0,371,NA,14,NA,NA
2004,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
2005,NA,NA,NA,200,42,NA,NA,1133,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1312,NA,NA,NA,37,3,NA,53,4,NA,NA,15,125,49,NA,96,NA,208,41,NA,156,NA,NA,485,848,19,NA,NA
2006,77,43,NA,NA,NA,10,39,NA,NA,216,100,68,200,23,35,284,414,NA,25,482,NA,31,123,325,NA,NA,12,NA,NA,110,NA,NA,NA,NA,470,100,1,NA,NA,120,NA,NA,1,NA,NA,NA,1065,NA
2007,100,43,80,200,65,15,43,1166,113,216,135,78,210,29,50,337,414,NA,NA,500,1312,31,150,325,44,5,12,65,2,123,41,35,164,60,470,106,1,227,46,115,160,11,1,560,835,27,1065,88
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,NA,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
