"","lat","long","pika.pres","marmot.pres","talus.area","elev.m","group"
"5",39.62937,-105.84827,"Present","Absent","1001-5000m2",3656.46,"pikas.only"
"6",39.36361,-106.03252,"Present","no.data",">5 ha",3692.03,"pikas.only"
"7",39.36079,-106.03886,"Present","Present",">5 ha",3755.39,"both.spp.present"
"8",39.63336,-105.84621,"Present","Present",">1 ha",3663.11,"both.spp.present"
"9",39.64027,-105.84777,"Present","Present",">1 ha",3764.26,"both.spp.present"
"11",39.28587,-106.13346,"Present","Present",">1 ha",3579.84,"both.spp.present"
"12",39.31214,-106.11524,"Present","Absent",">1 ha",3538.12,"pikas.only"
"13",39.31882,-106.12063,"Present","Absent",">1 ha",3601.38,"pikas.only"
"14",39.28503,-106.13281,"Present","Absent","1001-5000m2",3561.3,"pikas.only"
"15",39.31134,-106.11582,"Present","Present","5001-10,000m2",3507.48,"both.spp.present"
"16",39.28533,-106.13286,"Present","Absent",">5 ha",3571.49,"pikas.only"
"18",39.31242,-106.11617,"Present","Present",">1 ha",3519.25,"both.spp.present"
"19",39.31851,-106.12045,"Present","Absent",">5 ha",3593.42,"pikas.only"
"22",39.36182,-106.0375,"Present","Absent",">1 ha",3721.94,"pikas.only"
"23",39.36272,-106.03294,"Present","no.data",">1 ha",3731.53,"pikas.only"
"24",39.36465,-106.0421,"Absent","Absent","1001-5000m2",3610.02,"both.spp.absent"
"25",39.36184,-106.03748,"Present","Absent",">1 ha",3721.94,"pikas.only"
"26",39.36522,-106.02893,"Present","Absent",">1 ha",3675.73,"pikas.only"
"27",39.56466,-105.81292,"Present","Absent",">1 ha",3533.95,"pikas.only"
"28",39.57545,-105.78791,"Present","Absent","5001-10,000m2",3366.26,"pikas.only"
"30",39.88905,-105.81282,"Present","Absent","5001-10,000m2",2843.84,"pikas.only"
"32",39.36475,-106.04208,"Present","Present","<1000m2",3608.05,"both.spp.present"
"33",40.51698,-105.8709,"Present","Absent","1001-5000m2",3351.2,"pikas.only"
"34",40.53022,-105.8622,"Absent","Absent","<1000m2",3367.63,"both.spp.absent"
"35",40.54054,-105.85627,"Present","Absent",">5 ha",3330.29,"pikas.only"
"39",40.42636,-105.94118,"Present","Present","<1000m2",3396.09,"both.spp.present"
"40",40.42723,-105.93909,"Present","Absent",">5 ha",3370.35,"pikas.only"
"41",40.4284,-105.96208,"Present","Present",">5 ha",3223.25,"both.spp.present"
"43",39.36128,-106.03798,"Present","Absent",">5 ha",3737.55,"pikas.only"
"46",39.45468,-105.92353,"Present","Absent",">5 ha",3460.92,"pikas.only"
"47",39.41392,-105.91639,"Present","Absent",">5 ha",3347.73,"pikas.only"
"48",39.41666,-105.92062,"Present","Absent",">5 ha",3442.85,"pikas.only"
"49",39.40958,-105.91315,"Present","Absent",">5 ha",3502.2,"pikas.only"
"50",39.45116,-105.92224,"Present","Absent","5001-10,000m2",3490.57,"pikas.only"
"51",39.41602,-105.92108,"Present","Absent",">5 ha",3476.98,"pikas.only"
"57",40.41749,-105.79215,"Present","Present",">1 ha",3604.63,"both.spp.present"
"68",39.940915,-105.61668,"Absent","Absent","5001-10,000m2",3287.72,"both.spp.absent"
"69",39.94281,-105.616587,"Present","Absent",">5 ha",3222.34,"pikas.only"
"70",39.946983,-105.617254,"Present","Absent",">1 ha",3079.17,"pikas.only"
"74",39.7939,-105.76241,"Present","Present","5001-10,000m2",3739.4,"both.spp.present"
"75",39.48179,-105.47878,"Absent","Present","<1000m2",2652.7,"marmots.only"
"76",39.79337,-105.76078,"Present","Absent","1001-5000m2",3612.52,"pikas.only"
"77",39.80049,-105.79947,"Present","Present","5001-10,000m2",3660.04,"both.spp.present"
"78",39.62949,-105.84515,"Present","Absent","5001-10,000m2",3557.59,"pikas.only"
"79",39.63374,-105.84473,"Present","Absent",">5 ha",3634.22,"pikas.only"
"80",39.64008,-105.84356,"Present","Absent","5001-10,000m2",3708.12,"pikas.only"
"81",39.6402565,-105.843726,"Present","Absent","5001-10,000m2",3724.14,"pikas.only"
"82",39.36186,-106.03742,"Present","Present",">1 ha",3719.58,"both.spp.present"
"83",39.36549,-106.02905,"Present","Absent",">1 ha",3665.24,"pikas.only"
"84",39.3423227,-105.4731667,"Present","Absent","<1000m2",2836.82,"pikas.only"
"85",39.3349831,-105.461235,"Absent","Absent","1001-5000m2",2716.24,"both.spp.absent"
"90",40.51762,-105.87302,"Present","Absent",">1 ha",3310.19,"pikas.only"
"91",40.52968,-105.85994,"Present","Absent",">5 ha",3457.62,"pikas.only"
"92",40.53954,-105.85792,"Present","Absent",">5 ha",3299.53,"pikas.only"
"93",40.31131,-105.52259,"Present","no.data","1001-5000m2",2725.09,"pikas.only"
"94",40.36751,-105.51528,"Present","Absent","5001-10,000m2",2407.35,"pikas.only"
"95",40.32301,-105.51494,"Present","Absent",">1 ha",2498.82,"pikas.only"
"98",40.05188,-105.5743,"Present","Absent","1001-5000m2",3481.46,"pikas.only"
"101",40.05154,-105.57368,"Present","Absent","5001-10,000m2",3462.39,"pikas.only"
"104",40.05133,-105.57416,"Absent","Absent","5001-10,000m2",3460.99,"both.spp.absent"
"105",40.03331,-105.35652,"Present","Absent","5001-10,000m2",1987.6,"pikas.only"
"106",40.02831,-105.33948,"Present","Absent","5001-10,000m2",1813.31,"pikas.only"
"107",40.0308,-105.34449,"Absent","Absent","1001-5000m2",1914.44,"both.spp.absent"
"110",40.05139,-105.57406,"Present","no.data","1001-5000m2",3463.02,"pikas.only"
"114",39.21866,-106.12834,"Present","Present","5001-10,000m2",3688.21,"both.spp.present"
"115",40.0543,-105.56906,"Absent","Absent","1001-5000m2",3503.14,"both.spp.absent"
"116",40.55582,-105.81854,"Present","Absent",">1 ha",3037.1,"pikas.only"
"117",40.2614,-105.63138,"Present","Present","1001-5000m2",3438.98,"both.spp.present"
"119",40.09507,-105.58479,"Present","Absent",">1 ha",3425.13,"pikas.only"
"120",39.5661,-105.72243,"Absent","Absent","1001-5000m2",3328.89,"both.spp.absent"
"121",39.56603,-105.72247,"Present","Absent","5001-10,000m2",3328.89,"pikas.only"
"122",40.19224,-105.63026,"Present","Absent",">1 ha",3238.73,"pikas.only"
"123",39.33915,-106.00928,"Present","Absent","1001-5000m2",4148.45,"pikas.only"
"124",40.4837,-105.90305,"Absent","Absent","1001-5000m2",3253.5,"both.spp.absent"
"126",39.20211,-106.1499,"Present","Absent",">5 ha",3589.35,"pikas.only"
"127",39.38231,-106.12827,"Present","Absent","1001-5000m2",3740.67,"pikas.only"
"128",40.474994,-105.653532,"Present","Present","<1000m2",3680.1,"both.spp.present"
"129",40.477364,-105.652454,"Present","Present","5001-10,000m2",3677.29,"both.spp.present"
"131",40.43353,-105.74483,"Absent","Absent","5001-10,000m2",3521.5,"both.spp.absent"
"132",40.09507,-105.58484,"Present","Absent",">1 ha",3427.8,"pikas.only"
"133",39.72499,-105.89069,"Present","Present",">1 ha",3704.4,"both.spp.present"
"134",39.16957,-106.47229,"Absent","Absent","1001-5000m2",3614.73,"both.spp.absent"
"135",40.43364,-105.74472,"Absent","Absent","1001-5000m2",3513.03,"both.spp.absent"
"136",40.25793,-105.81142,"Absent","Absent","1001-5000m2",2622.27,"both.spp.absent"
"137",39.3832,-106.13064,"Present","Absent",">5 ha",3776.68,"pikas.only"
"138",40.44306,-105.89001,"Absent","Absent",">1 ha",3450.91,"both.spp.absent"
"139",40.25961,-105.63136,"Present","Present",">5 ha",3464.1,"both.spp.present"
"140",40.43136,-105.62537,"Present","Absent","1001-5000m2",3334.06,"pikas.only"
"141",40.47368,-105.64695,"Present","Present","5001-10,000m2",3524.81,"both.spp.present"
"142",40.48058,-105.65568,"Present","Absent",">5 ha",3757.34,"pikas.only"
"143",39.56632,-105.72274,"Present","Absent","5001-10,000m2",3331.86,"pikas.only"
"144",40.19209,-105.63021,"Present","Absent",">1 ha",3247.19,"pikas.only"
"145",40.48371,-105.90306,"Absent","Absent","<1000m2",3256.82,"both.spp.absent"
"146",39.36441,-106.21361,"Absent","Absent","1001-5000m2",3438.99,"both.spp.absent"
"147",39.36449,-106.21327,"Present","Absent","5001-10,000m2",3446.48,"pikas.only"
"148",40.44305,-105.8878,"Present","Absent",">5 ha",3455.99,"pikas.only"
"149",40.25793,-105.81142,"Absent","Absent","1001-5000m2",2622.27,"both.spp.absent"
"150",40.09502,-105.58486,"Present","Absent",">1 ha",3427.8,"pikas.only"
"151",39.59598,-105.6503,"Present","Present",">1 ha",3935.4,"both.spp.present"
"152",39.73096,-105.84055,"Present","Absent","1001-5000m2",3914.79,"pikas.only"
"153",39.36449,-106.21347,"Present","Absent","5001-10,000m2",3441.88,"pikas.only"
"154",39.56673,-105.72307,"Present","Absent","5001-10,000m2",3332.65,"pikas.only"
"155",40.10725,-105.59822,"Present","Absent","1001-5000m2",3656.94,"pikas.only"
"156",40.10979,-105.59775,"Present","Present","1001-5000m2",3556.44,"both.spp.present"
"157",40.43912,-105.70149,"Present","Absent","5001-10,000m2",3674.97,"pikas.only"
"158",39.20206,-106.1491,"Present","Absent",">5 ha",3594.43,"pikas.only"
"159",39.20215,-106.1499,"Present","Absent",">5 ha",3592.99,"pikas.only"
"160",39.20752,-106.17145,"Present","Absent","<1000m2",3764.54,"pikas.only"
"161",38.8758,-105.0726,"Present","Absent","1001-5000m2",3489.85,"pikas.only"
"162",40.26142,-105.63136,"Present","Present",">1 ha",3438.98,"both.spp.present"
"163",39.87432,-105.94167,"Absent","Absent","<1000m2",3612.68,"both.spp.absent"
"164",38.85799,-105.03339,"Absent","Absent","1001-5000m2",3349.25,"both.spp.absent"
"165",40.33452,-105.72444,"Present","Absent","5001-10,000m2",3569.11,"pikas.only"
"166",40.31344,-105.70355,"Present","Present","1001-5000m2",3746.96,"both.spp.present"
"167",39.75745,-105.88242,"Present","Absent","1001-5000m2",3816.22,"pikas.only"
"168",39.7571,-105.88414,"Present","Absent",">1 ha",3748.95,"pikas.only"
"169",39.7715,-105.88784,"Present","Absent","5001-10,000m2",3837.6,"pikas.only"
"170",38.8757,-105.0725,"Present","Absent","5001-10,000m2",3489.49,"pikas.only"
"171",39.78095,-105.88798,"Present","Absent","1001-5000m2",3718.54,"pikas.only"
"172",39.20741,-106.16979,"Present","Present","5001-10,000m2",3721.84,"both.spp.present"
"173",39.3825,-106.13071,"Present","Present",">5 ha",3785.19,"both.spp.present"
"174",39.718255,-105.904432,"Present","Absent","1001-5000m2",3698.22,"pikas.only"
"176",40.280865,-105.599205,"Present","no.data","5001-10,000m2",3586.73,"pikas.only"
"178",40.48362,-105.90318,"Absent","Present","1001-5000m2",3258.51,"marmots.only"
"179",40.09469,-105.5846,"Present","Absent",">5 ha",3419.47,"pikas.only"
"180",39.20742,-106.17124,"Present","Present",">5 ha",3762.08,"both.spp.present"
"181",40.43158,-105.62539,"Absent","Absent","1001-5000m2",3312.97,"both.spp.absent"
"182",39.38187,-106.13303,"Present","Absent",">5 ha",3900.47,"pikas.only"
"183",40.25799,-105.8114,"Absent","Absent","1001-5000m2",2626.48,"both.spp.absent"
"184",39.71945,-105.90058,"Present","Present","5001-10,000m2",3648.12,"both.spp.present"
"185",39.72194,-105.90144,"Present","Present","5001-10,000m2",3767.53,"both.spp.present"
